RSID,MLBID,Team,Trans,Pos,First,Last,Started,StarterInSeason,End,EndedInSeason,TotalInSeasonDays,Transferred to 60 day DL,Disabled List Type,Side,Location,BodyType,Injury,Extent,Surgery,Surgery Date
sweem002,123041,SEA,6/27/2010,D,Mike,Sweeney,6/26/2010,6/26/2010,8/4/2010,8/4/2010,39,,15,,back,,spasms,,,
rowlr002,434884,SEA,7/28/2010,P,Ryan,Rowland-Smith,7/28/2010,7/28/2010,9/3/2010,9/3/2010,37,,15,lower,back,,strain,,,
lowem002,450275,SEA,5/5/2010,P,Mark,Lowe,5/3/2010,5/3/2010,9/29/2010,9/29/2010,149,8/1/2010,15,lower,back,disc,inflammation,,,
wilsj002,333292,SEA,8/9/2010,I,Jack,Wilson,8/8/2010,8/8/2010,unk,10/3/2010,56,,15,right,hand,,fracture,,,
kells001,518875,SEA,6/25/2010,P,Shawn,Kelley,6/16/2010,6/16/2010,unk,10/3/2010,109,,15,right,elbow,,inflammation,,,
bedae001,407853,SEA,3/31/2010,P,Erik,Bedard,3/26/2010,4/5/2010,unk,10/3/2010,181,5/16/2010,15,left,labrum,,surgery,,yes,8/1/2009
lewif001,430930,SFG,4/4/2010,P,Fred,Lewis,3/27/2010,4/5/2010,4/17/2010,4/17/2010,12,,15,left,intercostal,,strain,,,
rowaa001,400023,SFG,4/18/2010,O,Aaron,Rowand,4/18/2010,4/18/2010,5/2/2010,5/2/2010,14,,15,,cheekbones,,fracture,,,
rente001,121074,SFG,5/7/2010,I,Edgar,Renteria,5/7/2010,5/7/2010,5/22/2010,5/22/2010,15,,15,right,groin,,strain,,,
sancf001,408108,SFG,4/4/2010,I,Freddy,Sanchez,3/26/2010,4/5/2010,5/26/2010,5/26/2010,51,,15,left,shoulder,,surgery,,yes,12/1/2009
meddb001,430665,SFG,5/21/2010,P,Brandon,Medders,5/20/2010,5/20/2010,6/4/2010,6/4/2010,15,,15,right,knee,,inflammation,,,
rente001,121074,SFG,5/26/2010,I,Edgar,Renteria,5/26/2010,5/26/2010,6/16/2010,6/16/2010,21,,15,right,hamstring,,strain,,,
rohlr001,489262,SFG,5/31/2010,I,Ryan,Rohlinger,5/31/2010,5/31/2010,7/1/2010,7/1/2010,31,,15,left,hamstring,,strain,,,
wellt002,425487,SFG,6/11/2010,P,Todd,Wellemeyer,6/11/2010,6/11/2010,8/5/2010,8/5/2010,55,,15,right,quadriceps,,injury,,,
velee001,464299,SFG,7/25/2010,O,Eugenio,Velez,7/25/2010,7/25/2010,8/11/2010,8/11/2010,17,,15,,head,,contusion and concussion,,,
affej001,346793,SFG,7/24/2010,P,Jeremy,Affeldt,7/21/2010,7/21/2010,8/18/2010,8/18/2010,28,,15,left,oblique,,strain,,,
runzd001,502130,SFG,7/9/2010,P,Dan,Runzler,7/9/2010,7/9/2010,9/1/2010,9/1/2010,54,,15,left,patella,,dislocated,,,
rente001,121074,SFG,8/11/2010,I,Edgar,Renteria,8/11/2010,8/11/2010,9/1/2010,9/1/2010,21,,15,left,biceps,,strain,,,
ray-c001,444884,SFG,8/18/2010,P,Chris,Ray,8/18/2010,8/18/2010,9/3/2010,9/3/2010,16,,15,right,intercostal,,strain,,,
motag001,150407,SFG,8/23/2010,P,Guillermo,Mota,8/23/2010,8/23/2010,9/7/2010,9/7/2010,15,,15,left,leg,,Iliotibiali ban syndrome,,,
burre001,502034,SFG,4/4/2010,I,Emmanuel,Burriss,3/26/2010,4/5/2010,unk,10/3/2010,181,5/21/2010,15,left,foot,,fracture,,,
derom001,136660,SFG,5/17/2010,O,Mark,DeRosa,5/17/2010,5/17/2010,unk,10/3/2010,139,6/26/2010,15,left,wrist,,injury,,,
laruj001,150178,STL,4/14/2010,C,Jason,LaRue,4/14/2010,4/14/2010,4/27/2010,4/27/2010,13,,15,right,hamstring,,strain,,,
lopef001,150479,STL,4/26/2010,I,Felipe,Lopez,4/26/2010,4/26/2010,5/17/2010,5/17/2010,21,,15,right,elbow,,strain,grade 1,,
ludwr001,407886,STL,7/3/2010,O,Ryan,Ludwick,6/26/2010,6/26/2010,7/24/2010,7/24/2010,28,,15,left,calf,,strain,,,
stavn001,458036,STL,7/15/2010,O,Nick,Stavinoha,7/12/2010,7/12/2010,7/31/2010,7/31/2010,19,,15,right,shoulder,,strain,,,
lohsk001,346798,STL,5/27/2010,P,Kyle,Lohse,5/23/2010,5/23/2010,8/15/2010,8/15/2010,84,6/5/2010,15,right,forearm,,strain,,,
greet004,460022,STL,8/1/2010,I,Tyler,Greene,8/1/2010,8/1/2010,8/17/2010,8/17/2010,16,,15,right,hand,,contusion.,,,
mottj001,435400,STL,8/4/2010,P,Jason,Motte,8/3/2010,8/3/2010,8/30/2010,8/30/2010,27,,15,right,shoulder,,sprain,ac,,
suppj001,122987,STL,8/11/2010,P,Jeff,Suppan,8/1/2010,8/1/2010,9/1/2010,9/1/2010,31,,15,right,groin,,sore,,,
reyed001,121096,STL,8/24/2010,P,Dennys,Reyes,8/16/2010,8/16/2010,9/1/2010,9/1/2010,16,,15,left,elbow,,strain,,,
ottaa001,493603,STL,7/7/2010,P,Adam,Ottavino,7/4/2010,7/4/2010,9/29/2010,9/29/2010,87,8/17/2010,15,right,shoulder,,sprain,,,
freed001,501896,STL,6/29/2010,I,David,Freese,6/28/2010,6/28/2010,unk,10/3/2010,97,8/15/2010,15,right,ankle,bone,bruise,,,
laruj001,150178,STL,8/13/2010,C,Jason,LaRue,8/4/2010,8/4/2010,unk,10/3/2010,60,8/19/2010,15,,head,,concussion,,,
pennb002,207267,STL,5/22/2010,P,Brad,Penny,5/22/2010,5/22/2010,unk,10/3/2010,134,7/31/2010,15,right,latissimus dorsi muscle,,strain,,,
joycm001,459964,TBR,4/4/2010,O,Matt,Joyce,3/26/2010,4/6/2010,5/31/2010,5/31/2010,55,,15,right,elbow,,strain,,,
shopk001,431159,TBR,4/13/2010,C,Kelly,Shoppach,4/11/2010,4/11/2010,6/4/2010,6/4/2010,54,,15,right,knee,,sprain,,,
bartj001,430583,TBR,6/7/2010,I,Jason,Bartlett,5/30/2010,5/30/2010,6/16/2010,6/16/2010,17,,15,right,hamstring,,strain,,,
kaplg001,137002,TBR,6/12/2010,O,Gabe,Kapler,6/12/2010,6/12/2010,6/30/2010,6/30/2010,18,,15,right,hip,flexor,strain,,,
sonna001,458567,TBR,8/2/2010,P,Andy,Sonnanstine,7/23/2010,7/23/2010,8/8/2010,8/8/2010,16,,15,left,hamstring,,strain,,,
penac001,150289,TBR,8/6/2010,I,Carlos,Pena,8/1/2010,8/1/2010,8/16/2010,8/16/2010,15,,15,right,foot,,plantar fasciitis,,,
daviw001,451584,TBR,8/10/2010,P,Wade,Davis,8/6/2010,8/6/2010,8/24/2010,8/24/2010,18,,15,right,shoulder,,strain,,,
niemj001,435298,TBR,8/9/2010,P,Jeff,Niemann,8/4/2010,8/4/2010,8/25/2010,8/25/2010,21,,15,right,shoulder,,strain,,,
balfg001,346797,TBR,7/31/2010,P,Grant,Balfour,7/29/2010,7/29/2010,9/2/2010,9/2/2010,35,,15,,rib,,strain,,,
lobaj001,446653,TBR,8/31/2010,P,Jose,Lobaton,8/31/2010,8/31/2010,unk,10/3/2010,33,,15,right,foot,,bruise,deep,,
baldr001,408306,TBR,10/7/2010,O,Rocco,Baldelli,10/7/2010,10/3/2010,unk,10/3/2010,0,,15,,leg,,fatigue,,,
kaplg001,137002,TBR,8/16/2010,O,Gabe,Kapler,8/15/2010,8/15/2010,unk,10/3/2010,49,,15,right,ankle,,sprain,,,
howej003,434442,TBR,4/4/2010,P,J.P.,Howell,3/26/2010,4/6/2010,unk,10/3/2010,180,8/27/2010,15,left,shoulder,,strain,,,
huntt002,488984,TEX,4/4/2010,P,Tommy,Hunter,3/26/2010,4/5/2010,4/28/2010,4/28/2010,23,,15,left,oblique,,strain,,,
kinsi001,435079,TEX,4/4/2010,I,Ian,Kinsler,3/26/2010,4/5/2010,4/30/2010,4/30/2010,25,,15,right,ankle,,sprain,,,
cruzn002,443558,TEX,4/27/2010,O,Nelson,Cruz,4/27/2010,4/27/2010,5/14/2010,5/14/2010,17,,15,right,hamstring,,strain,,,
ariaj001,435078,TEX,4/30/2010,I,Joaquin,Arias,4/30/2010,4/30/2010,5/16/2010,5/16/2010,16,,15,lower,back,,strain,,,
harrm001,457448,TEX,5/12/2010,P,Matt,Harrison,5/7/2010,5/7/2010,5/29/2010,5/29/2010,22,,15,left,biceps,,tendinitis,,,
cruzn002,443558,TEX,5/30/2010,O,Nelson,Cruz,5/29/2010,5/29/2010,6/22/2010,6/22/2010,24,,15,left,hamstring,,strain,,,
hardr001,425848,TEX,6/12/2010,P,Rich,Harden,6/12/2010,6/12/2010,7/31/2010,7/31/2010,49,,15,left,gluteal,muscle,strain,,,
ariaj001,435078,TEX,7/31/2010,I,Joaquin,Arias,7/31/2010,7/31/2010,8/16/2010,8/16/2010,16,,15,,back,muscle,strain,,,
tream001,276354,TEX,7/24/2010,C,Matt,Treanor,7/24/2010,7/24/2010,8/23/2010,8/23/2010,30,,15,right,knee,,sprain,,,
hardr001,425848,TEX,8/15/2010,P,Rich,Harden,8/8/2010,8/8/2010,8/23/2010,8/23/2010,15,,15,right,shoulder,,tendinitis,,,
cruzn002,443558,TEX,8/16/2010,O,Nelson,Cruz,8/15/2010,8/15/2010,8/30/2010,8/30/2010,15,,15,left,hamstring,,strain,,,
kinsi001,435079,TEX,7/31/2010,I,Ian,Kinsler,7/28/2010,7/28/2010,9/1/2010,9/1/2010,35,,15,left,groin,,strain,,,
guzmc001,150217,TEX,8/14/2010,I,Cristian,Guzman,8/14/2010,8/14/2010,9/1/2010,9/1/2010,18,,15,right,quadriceps,,strain,,,
nippd001,430962,TEX,7/20/2010,P,Dustin,Nippert,7/20/2010,7/20/2010,9/3/2010,9/3/2010,45,,15,,head,,injury,mild,,
felds001,444857,TEX,8/23/2010,P,Scott,Feldman,8/22/2010,8/22/2010,9/7/2010,9/7/2010,16,,15,right,knee,bone,bruise,,,
moscg001,446861,TEX,9/29/2010,P,Guillermo,Moscoso,9/29/2010,9/29/2010,unk,10/3/2010,4,,60,right index,finger,,blister,,,
gentc001,502226,TEX,8/30/2010,O,Craig,Gentry,8/30/2010,8/30/2010,unk,10/3/2010,34,,15,,wrist,,broken wrist,,,
mccab001,435221,TEX,7/29/2010,P,Brandon,McCarthy,7/29/2010,7/29/2010,unk,10/3/2010,66,,60,right,shoulder,,sore,,,
franf001,407911,TEX,8/28/2010,P,Frank,Francisco,8/28/2010,8/28/2010,unk,10/3/2010,36,,15,right,latissimus dorsi,muscle,strain,,,
hurle001,457922,TEX,3/13/2010,P,Eric,Hurley,3/13/2010,4/5/2010,unk,10/3/2010,181,,60,right,shoulder,,surgery,,yes,1/1/2009
madrw001,444127,TEX,4/4/2010,P,Warner,Madrigal,3/26/2010,4/5/2010,unk,10/3/2010,181,4/8/2010,15,right,forearm,,tightness,,,
hilla001,431094,TOR,4/12/2010,I,Aaron,Hill,4/8/2010,4/8/2010,4/23/2010,4/23/2010,15,,15,right,hamstring,,tightness,,,
rzepm001,519240,TOR,4/5/2010,P,Marc,Rzepczynski,3/31/2010,4/5/2010,5/19/2010,5/19/2010,44,,15,left middle,finger,,fracture,,,
tallb001,425226,TOR,4/21/2010,P,Brian,Tallet,4/18/2010,4/18/2010,6/1/2010,6/1/2010,44,,15,left,forearm,,injury,,,
litsj001,446209,TOR,2/19/2010,P,Jesse,Litsch,2/19/2010,4/5/2010,6/9/2010,6/9/2010,65,,60,,elbow,,injury,,,
snidt001,501983,TOR,5/17/2010,O,Travis,Snider,5/15/2010,5/15/2010,7/17/2010,7/17/2010,63,,15,right,wrist,,sprain,,,
marcs001,451788,TOR,7/2/2010,P,Shaun,Marcum,7/2/2010,7/2/2010,7/18/2010,7/18/2010,16,,15,right,elbow,,inflammation,,,
buckj001,407833,TOR,8/5/2010,C,John,Buck,8/5/2010,8/5/2010,8/20/2010,8/20/2010,15,,15,right,thumb,,lacerated,,,
purcd001,453515,TOR,8/16/2010,P,David,Purcey,8/13/2010,8/13/2010,9/1/2010,9/1/2010,19,,15,right,foot,ligament,strain,,,
encae001,429665,TOR,4/21/2010,I,Edwin,Encarnacion,4/15/2010,4/15/2010,9/13/2010,9/13/2010,151,,15,right,shoulder,,sore,,,
encae001,429665,TOR,8/29/2010,I,Edwin,Encarnacion,8/29/2010,8/29/2010,9/13/2010,9/13/2010,15,,15,left,wrist,,sprain,,,
richs001,446341,TOR,3/4/2010,P,Scott,Richmond,3/4/2010,4/5/2010,unk,10/3/2010,181,,60,right,shoulder,,impingement,,,
lewir002,451650,TOR,9/15/2010,P,Rommie,Lewis,9/15/2010,9/15/2010,unk,10/3/2010,18,,60,left,shoulder,,inflammation,,,
litsj001,446209,TOR,8/6/2010,P,Jesse,Litsch,8/6/2010,8/6/2010,unk,10/3/2010,58,9/9/2010,15,right,hip,,labral tear,,,
mcgod001,430661,TOR,4/5/2010,P,Dustin,McGowan,3/26/2010,4/5/2010,unk,10/3/2010,181,4/15/2010,15,right,shoulder,,surgery,,yes,7/1/2008
hayhd001,460602,TOR,2/21/2010,P,Dirk,Hayhurst,2/21/2010,4/5/2010,10/6/2010,10/3/2010,184,,60,right,shoulder,,injury,,,
morsm001,434604,WAS,4/11/2010,I,Mike,Morse,4/11/2010,4/11/2010,5/16/2010,5/16/2010,35,,15,left,calf,,strain,,,
costc001,400120,WAS,4/4/2010,P,Chris,Coste,4/2/2010,4/5/2010,6/5/2010,6/5/2010,61,,15,right,elbow,,strain,,,
rodri001,121358,WAS,5/24/2010,C,Ivan,Rodriguez,5/23/2010,5/23/2010,6/8/2010,6/8/2010,16,,15,lower,back,,strain,,,
maldc003,430961,WAS,6/5/2010,C,Carlos,Maldonado,6/4/2010,6/4/2010,7/2/2010,7/2/2010,28,,15,left,thumb,,fracture,,,
olses001,435179,WAS,5/22/2010,P,Scott,Olsen,5/22/2010,5/22/2010,7/28/2010,7/28/2010,67,,15,left,shoulder,,tightness,,,
marqj001,150302,WAS,4/22/2010,P,Jason,Marquis,4/19/2010,4/19/2010,8/8/2010,8/8/2010,111,,15,right,elbow,,loose bodies,,,
stras001,544931,WAS,8/2/2010,P,Stephen,Strasburg,7/22/2010,7/22/2010,8/10/2010,8/10/2010,19,,15,right,shoulder,,inflammation,,,
morgn001,460579,WAS,8/6/2010,O,Nyjer,Morgan,8/4/2010,8/4/2010,8/19/2010,8/19/2010,15,,15,right,hip,,sore,,,
florj002,435520,WAS,4/4/2010,P,Jesus,Flores,4/4/2010,4/5/2010,8/26/2010,8/26/2010,143,,60,right,labrum,,surgery,,yes,9/1/2009
detwr001,446321,WAS,8/8/2010,P,Ross,Detwiler,8/8/2010,8/8/2010,9/7/2010,9/7/2010,30,,15,hip,hip,,injury,,,
atill001,457447,WAS,7/23/2010,P,Luis,Atilano,7/21/2010,7/21/2010,unk,10/3/2010,74,8/17/2010,15,right,elbow,bone,chips,,,
walkt003,400104,WAS,6/29/2010,P,Tyler,Walker,6/20/2010,6/20/2010,unk,10/3/2010,105,8/2/2010,15,right,shoulder,,inflammation,,,
mockg001,452241,WAS,4/15/2010,P,Garrett,Mock,4/11/2010,4/11/2010,unk,10/3/2010,175,6/21/2010,15,,cervical spine,,injury,,,
martj005,455605,WAS,7/25/2010,P,J.D.,Martin,7/25/2010,7/25/2010,unk,10/3/2010,70,8/6/2010,15,lower,back,,strain,,,
stras001,544931,WAS,8/24/2010,P,Stephen,Strasburg,8/22/2010,8/22/2010,unk,10/3/2010,42,9/1/2010,15,right,forearm,flexor,strain,,,
wangc001,425426,WAS,4/4/2010,P,Chien-Ming,Wang,4/4/2010,4/5/2010,unk,10/3/2010,181,,60,right,shoulder,,surgery,,yes,7/1/2009
willj004,425545,WAS,8/18/2010,O,Josh,Willingham,8/16/2010,8/16/2010,unk,10/3/2010,48,9/3/2010,15,left,knee,,tear,,,
