RSID,MLBID,Team,Trans,Pos,First,Last,Started,StarterInSeason,End,EndedInSeason,TotalInSeasonDays,Transferred to 60 day DL,Disabled List Type,Side,Location,BodyType,Injury,Extent,Surgery,Surgery Date
seayb001,150144,DET,3/27/2010,P,Bobby,Seay,3/26/2010,4/5/2010,unk,10/3/2010,181,5/17/2010,15,left,shoulder,,strain,,,
minez001,435261,DET,3/27/2010,P,Zach,Miner,3/26/2010,4/5/2010,unk,10/3/2010,181,6/25/2010,15,right,elbow,,tendinitis,,,
wortd001,519445,DET,8/4/2010,I,Danny,Worth,8/4/2010,8/4/2010,10/6/2010,10/3/2010,63,,15,left,heel,,bruise,,,
guilc001,136722,DET,8/18/2010,O,Carlos,Guillen,8/17/2010,8/17/2010,10/6/2010,10/3/2010,50,,15,left,knee,,contusion.,,,
ordom001,120044,DET,7/25/2010,O,Magglio,Ordonez,7/25/2010,7/25/2010,10/6/2010,10/3/2010,73,,15,right,ankle,,sprain,,,
carrb001,448276,FLO,4/3/2010,O,Brett,Carroll,3/26/2010,4/5/2010,4/14/2010,4/14/2010,9,,15,left,oblique,,strain,,,
sancb001,430083,FLO,4/3/2010,P,Brian,Sanches,4/3/2010,4/5/2010,4/26/2010,4/26/2010,21,,15,right,hamstring,,strain,,,
meyed002,434159,FLO,4/26/2010,P,Dan,Meyer,4/25/2010,4/25/2010,5/10/2010,5/10/2010,15,,15,left,calf,,strain,,,
pintr001,430594,FLO,5/27/2010,P,Renyel,Pinto,5/27/2010,5/27/2010,6/15/2010,6/15/2010,19,,15,left,hip,,strain,,,
hensc002,454535,FLO,6/18/2010,P,Clay,Hensley,6/12/2010,6/12/2010,7/2/2010,7/2/2010,20,,15,left,Neck,,strain,,,
hayeb001,451109,FLO,7/21/2010,C,Brett,Hayes,7/21/2010,7/21/2010,8/5/2010,8/5/2010,15,,15,left,wrist,,contusion.,,,
leroc001,460092,FLO,5/20/2010,P,Chris,Leroux,5/18/2010,5/18/2010,9/13/2010,9/13/2010,118,,15,right,elbow,,strain,,,
murpd004,430906,FLO,9/4/2010,I,Donnie,Murphy,9/2/2010,9/2/2010,unk,10/3/2010,31,,60,right,wrist,,dislocated,,,
wests001,476811,FLO,8/19/2010,P,Sean,West,8/15/2010,8/15/2010,unk,10/3/2010,49,,15,right,knee,,inflammation,,,
coghc001,458085,FLO,7/27/2010,O,Chris,Coghlan,7/26/2010,7/26/2010,unk,10/3/2010,69,9/19/2010,15,left,knee,,injury,,,
bakej002,434633,FLO,5/15/2010,C,John,Baker,5/13/2010,5/13/2010,unk,10/3/2010,143,6/18/2010,15,right,flexor,muscle,strain,,,
marij001,501697,FLO,7/25/2010,P,Jhan,Marinez,7/25/2010,7/25/2010,unk,10/3/2010,70,9/20/2010,15,right,elbow,,strain,,,
nolar001,445060,FLO,9/4/2010,P,Ricky,Nolasco,8/29/2010,8/29/2010,unk,10/3/2010,35,,60,right,knee,meniscus,torn,,,
berkl001,204020,HOU,3/31/2010,I,Lance,Berkman,3/26/2010,4/5/2010,4/20/2010,4/20/2010,15,,15,left,knee,,cranky,,,
gervs001,463645,HOU,4/8/2010,P,Sammy,Gervacio,4/8/2010,4/8/2010,4/24/2010,4/24/2010,16,,15,right,shoulder cuff,,strain,,,
johnc003,453400,HOU,4/20/2010,I,Chris,Johnson,4/18/2010,4/18/2010,5/8/2010,5/8/2010,20,,15,right,intercostal,muscle,strain,,,
byrdt001,136263,HOU,5/4/2010,P,Tim,Byrdak,5/4/2010,5/4/2010,5/24/2010,5/24/2010,20,,15,right,hamstring,,injury,,,
sampc001,448200,HOU,6/1/2010,P,Chris,Sampson,6/1/2010,6/1/2010,6/22/2010,6/22/2010,21,,15,right,rotator cuff,,tendinitis,,,
norrb001,502032,HOU,5/28/2010,P,Bud,Norris,5/24/2010,5/24/2010,6/28/2010,6/28/2010,35,,15,,biceps,,tendinitis,,,
fulcj001,445246,HOU,6/29/2010,P,Jeff,Fulchino,6/29/2010,6/29/2010,8/2/2010,8/2/2010,34,,15,right,elbow,,tendinitis,,,
blumg001,150398,HOU,7/4/2010,I,Geoff,Blum,7/2/2010,7/2/2010,8/3/2010,8/3/2010,32,,15,right,elbow,,loose bodies,,,
manzt001,446373,HOU,6/23/2010,I,Tommy,Manzella,6/23/2010,6/23/2010,8/19/2010,8/19/2010,57,,15,left index,finger,,fracture,,,
keppj001,433898,HOU,8/20/2010,I,Jeff,Keppinger,8/17/2010,8/17/2010,9/1/2010,9/1/2010,15,,15,left big,toe,,fracture,,,
lindm001,434637,HOU,8/19/2010,P,Matt,Lindstrom,8/17/2010,8/17/2010,9/1/2010,9/1/2010,15,,15,,back,,problems,,,
paulf001,462956,HOU,6/24/2010,P,Felipe,Paulino,6/21/2010,6/21/2010,9/12/2010,9/12/2010,83,7/31/2010,15,right,shoulder,,tendinitis,,,
ariaa002,464244,HOU,3/31/2010,P,Alberto,Arias,3/26/2010,4/5/2010,unk,10/3/2010,181,5/5/2010,15,,rotator cuff,,Impingement,,,
bazay001,434590,HOU,3/31/2010,P,Yorman,Bazardo,3/26/2010,4/5/2010,unk,10/3/2010,181,,15,right,shoulder,,strain,,,
moehb001,119215,HOU,7/17/2010,P,Brian,Moehler,7/8/2010,7/8/2010,unk,10/3/2010,87,9/1/2010,15,right,groin,,strain,,,
mechg001,219194,KCR,4/3/2010,P,Gil,Meche,3/26/2010,4/5/2010,4/11/2010,4/11/2010,6,,15,right,shoulder,,bursitis,,,
gorda001,460086,KCR,4/3/2010,I,Alex,Gordon,3/26/2010,4/5/2010,4/17/2010,4/17/2010,12,,15,right,thumb,,fracture,,,
getzc001,460051,KCR,4/17/2010,I,Chris,Getz,4/16/2010,4/16/2010,4/30/2010,4/30/2010,14,,15,right,oblique,,strain,,,
parrj003,332292,KCR,4/29/2010,P,John,Parrish,4/25/2010,4/25/2010,6/16/2010,6/16/2010,52,,15,left,rotator cuff,,inflammation,,,
ankir001,150449,KCR,5/5/2010,O,Rick,Ankiel,5/3/2010,5/3/2010,7/22/2010,7/22/2010,80,,15,right,quadriceps,,strain,,,
tejer001,434565,KCR,8/1/2010,P,Robinson,Tejeda,7/30/2010,7/30/2010,8/29/2010,8/29/2010,30,,15,right,biceps,tendon,strain,,,
mechg001,219194,KCR,5/29/2010,P,Gil,Meche,5/29/2010,5/29/2010,9/1/2010,9/1/2010,95,7/14/2010,,right,shoulder,,injury,,,
fielj001,435222,KCR,4/3/2010,I,Josh,Fields,3/28/2010,4/5/2010,9/1/2010,9/1/2010,149,4/26/2010,15,right,hip,flexor,strain,,,
hochl001,460024,KCR,6/16/2010,P,Luke,Hochevar,6/12/2010,6/12/2010,9/3/2010,9/3/2010,83,9/1/2010,15,right,elbow,,strain,,,
